Countries,"PISA math scores, 2022",Global rank,Available data
Singapore,574.664,1,2009 - 2022
Macao,551.923,2,2003 - 2022
Taiwan,547.094,3,2006 - 2022
Hong Kong,540.352,4,2003 - 2022
Japan,535.579,5,2003 - 2022
South Korea,527.303,6,2003 - 2022
Estonia,509.947,7,2006 - 2022
Switzerland,507.991,8,2003 - 2022
Canada,496.948,9,2003 - 2022
Netherlands,492.676,10,2003 - 2022
Ireland,491.648,11,2003 - 2022
Belgium,489.487,12,2003 - 2022
Denmark,489.274,13,2003 - 2022
UK,488.975,14,2003 - 2022
Poland,488.96,15,2003 - 2022
Austria,487.267,16,2003 - 2022
Australia,487.084,17,2003 - 2022
Czechia,486.999,18,2003 - 2022
Slovenia,484.529,19,2006 - 2022
Finland,484.139,20,2003 - 2022
Latvia,483.159,21,2003 - 2022
Sweden,481.766,22,2003 - 2022
New Zealand,479.074,23,2003 - 2022
Lithuania,475.147,24,2006 - 2022
Germany,474.826,25,2003 - 2022
France,473.944,26,2003 - 2022
Spain,473.14,27,2003 - 2022
Hungary,472.776,28,2003 - 2022
Portugal,471.911,29,2003 - 2022
Italy,471.259,30,2003 - 2022
Vietnam,469.402,31,2012 - 2022
Norway,468.45,32,2003 - 2022
Malta,466.016,33,2015 - 2022
USA,464.888,34,2003 - 2022
Slovakia,463.995,35,2003 - 2022
Croatia,463.105,36,2006 - 2022
Iceland,458.914,37,2003 - 2022
Israel,457.897,38,2006 - 2022
Turkey,453.152,39,2003 - 2022
Brunei,442.093,40,2018 - 2022
Serbia,439.877,41,2018 - 2022
UA Emirates,431.11,42,2012 - 2022
Greece,430.146,43,2003 - 2022
Romania,427.76,44,2006 - 2022
Kazakhstan,425.439,45,2009 - 2022
Mongolia,424.593,46,2022 - 2022
Cyprus,418.307,47,2012 - 2022
Bulgaria,417.304,48,2006 - 2022
Moldova,414.198,49,2015 - 2022
Qatar,414.106,50,2006 - 2022
Chile,411.697,51,2006 - 2022
Uruguay,408.712,52,2003 - 2022
Malaysia,408.687,53,2012 - 2022
Montenegro,405.601,54,2006 - 2022
Azerbaijan,396.882,55,2018 - 2022
Mexico,395.03,56,2003 - 2022
Thailand,393.945,57,2003 - 2022
Peru,391.236,58,2009 - 2022
Georgia,390.024,59,2015 - 2022
Saudi Arabia,388.782,60,2018 - 2022
North Macedonia,388.576,61,2015 - 2022
Costa Rica,384.576,62,2012 - 2022
Colombia,382.697,63,2006 - 2022
Brazil,378.691,64,2003 - 2022
Argentina,377.529,65,2006 - 2022
Jamaica,377.417,66,2022 - 2022
Albania,368.222,67,2009 - 2022
Indonesia,365.525,68,2003 - 2022
Morocco,364.766,69,2018 - 2022
Uzbekistan,363.935,70,2022 - 2022
Jordan,361.228,71,2006 - 2022
Panama,356.574,72,2018 - 2022
Philippines,354.72,73,2018 - 2022
Guatemala,344.199,74,2022 - 2022
El Salvador,343.469,75,2022 - 2022
Domin. Rep.,339.107,76,2015 - 2022
Paraguay,337.54,77,2022 - 2022
Cambodia,336.396,78,2022 - 2022
