Countries,"PISA science scores, 2022",Global rank,Available data
Singapore,561.433,1,2009 - 2022
Japan,546.634,2,2006 - 2022
Macao,543.096,3,2006 - 2022
Taiwan,537.38,4,2006 - 2022
South Korea,527.822,5,2006 - 2022
Estonia,525.812,6,2006 - 2022
Hong Kong,520.419,7,2006 - 2022
Canada,515.017,8,2006 - 2022
Finland,510.959,9,2006 - 2022
Australia,507.001,10,2006 - 2022
New Zealand,504.129,11,2006 - 2022
Ireland,503.846,12,2006 - 2022
Switzerland,502.523,13,2006 - 2022
Slovenia,499.965,14,2006 - 2022
UK,499.67,15,2006 - 2022
USA,499.414,16,2006 - 2022
Poland,499.164,17,2006 - 2022
Czechia,497.742,18,2006 - 2022
Latvia,493.843,19,2006 - 2022
Denmark,493.816,20,2006 - 2022
Sweden,493.549,21,2006 - 2022
Germany,492.427,22,2006 - 2022
Austria,491.271,23,2006 - 2022
Belgium,490.578,24,2006 - 2022
Netherlands,488.317,25,2006 - 2022
France,487.225,26,2006 - 2022
Hungary,485.89,27,2006 - 2022
Spain,484.534,28,2006 - 2022
Lithuania,484.463,29,2006 - 2022
Portugal,484.373,30,2006 - 2022
Croatia,482.667,31,2006 - 2022
Norway,478.226,32,2006 - 2022
Italy,477.463,33,2006 - 2022
Turkey,475.938,34,2006 - 2022
Vietnam,472.381,35,2012 - 2022
Malta,465.589,36,2015 - 2022
Israel,464.752,37,2006 - 2022
Slovakia,462.269,38,2006 - 2022
Serbia,447.461,39,2018 - 2022
Iceland,446.967,40,2006 - 2022
Brunei,445.855,41,2018 - 2022
Chile,443.543,42,2006 - 2022
Greece,440.786,43,2006 - 2022
Uruguay,435.385,44,2006 - 2022
Qatar,432.403,45,2006 - 2022
UA Emirates,431.979,46,2012 - 2022
Romania,427.511,47,2006 - 2022
Kazakhstan,423.166,48,2009 - 2022
Bulgaria,420.993,49,2006 - 2022
Moldova,416.859,50,2015 - 2022
Malaysia,416.306,51,2012 - 2022
Mongolia,412.383,52,2022 - 2022
Colombia,411.121,53,2006 - 2022
Costa Rica,410.987,54,2012 - 2022
Cyprus,410.903,55,2012 - 2022
Mexico,409.887,56,2006 - 2022
Thailand,409.264,57,2006 - 2022
Peru,407.778,58,2009 - 2022
Argentina,406.191,59,2006 - 2022
Montenegro,403.13,60,2006 - 2022
Brazil,403.001,61,2006 - 2022
Jamaica,402.934,62,2022 - 2022
Saudi Arabia,390.388,63,2018 - 2022
Panama,387.768,64,2018 - 2022
Georgia,384.067,65,2015 - 2022
Indonesia,382.863,66,2006 - 2022
Azerbaijan,380.144,67,2018 - 2022
North Macedonia,379.875,68,2015 - 2022
Albania,375.968,69,2009 - 2022
Jordan,374.527,70,2006 - 2022
El Salvador,373.141,71,2022 - 2022
Guatemala,372.963,72,2022 - 2022
Paraguay,368.328,73,2022 - 2022
Morocco,365.398,74,2018 - 2022
Domin. Rep.,360.426,75,2015 - 2022
Philippines,356.167,76,2018 - 2022
Uzbekistan,354.864,77,2022 - 2022
Cambodia,347.104,78,2022 - 2022
